Name , Birth Month , Birth Day , Birth Year , Birth City , Birth State , Dead , Death Date , Age
Madhusudan Rege , March , 18 , 1924 , Panvel , Maharashtra , 1 , December 16 NA , NA  years 0 days
Shute Banerjee , October , 3 , 1911 , Calcutta (now Kolkata) , Bengal , 1 , October 14 1980 , 69  years 0 days
Nana Joshi , October , 27 , 1926 , Baroda , Gujarat , 1 , January 8 1987 , 61  years 0 days
Pankaj Roy , May , 31 , 1928 , Calcutta (now Kolkata) , Bengal , 1 , February 4 2001 , 73  years 0 days
Coimbatarao Gopinath , March , 1 , 1930 , Madras (now Chennai) , Madras (now Chennai) , 0 , NA , 87 years 50 days
M.K.Mantri , September , 1 , 1921 , Nasik , Maharashtra , 1 , May 23 2014 , 93  years 0 days
Ramesh Divecha , October , 18 , 1927 , Kadakvadi , Maharashtra , 1 , February 19 2003 , 76  years 0 days
Subhash Gupte , December , 11 , 1929 , Bombay (now Mumbai) , Maharashtra , 1 , May 31 2002 , 73  years 0 days
Vijay Manjrekar , September , 26 , 1931 , Bombay (now Mumbai) , Maharashtra , 1 , October 18 1983 , 52  years 0 days
Datta Gaekwad , October , 27 , 1928 , Baroda , Gujarat , 0 , NA , 88 years 175 days
Gulabrai Ramchand , July , 26 , 1927 , Karachi , Sind (now in Pakistan)| India , 1 , September 8 2003 , 76  years 0 days
Hiralal Gaekwad , August , 29 , 1923 , Nagpur , Maharashtra , 1 , January 2 2003 , 80  years 0 days
Shah Nyalchand , September , 14 , 1919 , Dhrangadhra , Gujarat , 1 , January 4 1997 , 78  years 0 days
Madhav Apte , October , 5 , 1932 , Bombay (now Mumbai) , Maharashtra , 0 , NA , 84 years 197 days
Bal Dani , May , 24 , 1933 , Dudhani , Maharashtra , 1 , December 19 1999 , 66  years 0 days
Vijay Rajindernath , January , 7 , 1928 , Amritsar , Punjab , 1 , November 22 1989 , 61  years 0 days
Ebrahim Maka , March , 5 , 1922 , Daman , Daman , 1 , November 7 1994 , 72  years 0 days
Deepak Shodhan , October , 18 , 1928 , Ahmedabad , Gujarat , 1 , May 16 2016 , 88  years 0 days
